Year,Name,DOB,Sex,Category,Motivation,Birth Country,Affiliation,Affiliation Place
2021,Benjamin List,11/1/1968,Male ,Chemistry,for the development of asymmetric organocatalysis,Germany,Max-Planck-Institute for Kohlenforschung,"Malheim an der Ruhr, Germany"
2021,David W.C. MacMillan,3/16/1968,Male ,Chemistry,for the development of asymmetric organocatalysis,United Kingdom,Princeton University,"Princeton, NJ, USA"
2020,Emmanuelle Charpentier,11/12/1968,Female,Chemistry,for the development of a method for genome editing,France,Max-Planck-Institute,"Berlin, Germany"
2020,Jennifer A. Doudna,2/19/1964,Female,Chemistry,for the development of a method for genome editing,United States of America,University of California,"Berkeley, CA, United States of America"
2019,Akira Yoshino,1/30/1948,Male,Chemistry,for the development of lithium-ion batteries,Japan,Asahi Kasei Corporation,"Tokyo, Japan"
2019,John Goodenough,7/25/1922,Male,Chemistry,for the development of lithium-ion batteries,Germany,University of Texas,"Austin TX, United States of America"
2019,M. Stanley Whittingham,12/22/1941,Male,Chemistry,for the development of lithium-ion batteries,United Kingdom,Binghamton University State University of New York,"New York, NY, United States of America"
2018,Frances H. Arnold,7/25/1956,Female,Chemistry,for the directed evolution of enzymes,United States of America,California Institute of Technology (Caltech),"Pasadena, CA, United States of America"
2018,George P. Smith,10/3/1941,Male,Chemistry,for the phage display of peptides and antibodies,United States of America,University of Missouri,"Columbia, United States of America"
2018,Sir Gregory P. Winter,4/14/1951,Male,Chemistry,for the phage display of peptides and antibodies,United Kingdom,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
2017,Jacques Dubochet,8/6/1942,Male,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Switzerland,University of Lausanne,"Lausanne, Switzerland"
2017,Joachim Frank,12/9/1940,Male,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Germany,Columbia University,"New York, NY, United States of America"
2017,Richard Henderson,7/19/1945,Male,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,United Kingdom,MRC Laboratory of Molecular Biology,"Cambridge, United Kingdom"
2016,Bernard L. Feringa,5/18/1951,Male,Chemistry, for the design and synthesis of molecular machines ,Netherlands,University of Groningen,"Groningen, Netherlands"
2016,Jean-Pierre Sauvage,10/21/1944,Male,Chemistry, for the design and synthesis of molecular machines ,France,University of Strasbourg,"Strasbourg, France"
2016,Sir J. Fraser Stoddart,5/24/1942,Male,Chemistry, for the design and synthesis of molecular machines ,United Kingdom,Northwestern University,"Evanston, IL, United States of America"
2015,Aziz Sancar,8/9/1946,Male,Chemistry, for mechanistic studies of DNA repair ,Turkey,University of North Carolina,"Chapel Hill, NC, United States of America"
2015,Paul Modrich,6/13/1946,Male,Chemistry, for mechanistic studies of DNA repair ,United States of America,Howard Hughes Medical Institute,"Durham, NC, United States of America"
2015,Tomas Lindahl,1/28/1938,Male,Chemistry, for mechanistic studies of DNA repair ,Sweden,Francis Crick Institute,"Hertfordshire, United Kingdom"
2014,Eric Betzig,1/13/1960,Male,Chemistry, for the development of super-resolved fluorescence microscopy ,United States of America,"Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA, United States of America"
2014,Stefan W. Hell,12/23/1962,Male,Chemistry, for the development of super-resolved fluorescence microscopy ,Romania,Max-Planck-Institut,"Gâˆšâˆ‚ttingen, Germany"
